phibin,etabin,calib_factor
12, 63, 1.05729
12, 64, 1.0743
12, 65, 0.970169
12, 66, 0.99464
12, 67, 1.10943
12, 68, 1.02579
12, 69, 0.959941
12, 70, 0.997854
12, 71, 1.02228
12, 72, 0.99143
12, 73, 0.885295
12, 74, 0.921706
12, 75, 0.874289
12, 76, 0.994554
12, 77, 0.843063
12, 78, 0.856326
12, 79, 0.957966
12, 80, 0.87274
12, 81, 0.781433
12, 82, 0.853128
12, 83, 0.933968
12, 84, 0.834162
12, 85, 1.00428
12, 86, 0.857495
12, 87, 0.857129
12, 88, 1.02351
12, 89, 0.925168
12, 90, 1.0365
12, 91, 0.964597
12, 92, 0.890245
12, 93, 0.825111
12, 94, 0.994578
12, 95, 0.675096
13, 0, 0.839785
13, 1, 0.961667
13, 2, 0.783929
13, 3, 0.997253
13, 4, 0.959551
13, 5, 0.833577
13, 6, 0.979957
13, 7, 1.01442
13, 8, 1.03156
13, 9, 1.06602
13, 10, 1.02543
13, 11, 0.995619
13, 12, 1.00329
13, 13, 0.959555
13, 14, 0.843712
13, 15, 1.06269
13, 16, 0.955869
13, 17, 0.882399
